Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Customer_Key__c
Apr,3,Wednesday,Pontiac,Urban,Wednesday,Apr,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12992,5,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-INS-014310
Oct,4,Saturday,Pontiac,Rural,Tuesday,Oct,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4071,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014311
Feb,1,Thursday,Mazda,Urban,Friday,Feb,1,Male,Married,48,Third Party,Sedan - Liability,Sport,30000 to 39000,0,13501,2,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,CUST-INS-014312
Sep,2,Thursday,Mazda,Urban,Friday,Sep,2,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3344,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014313
Apr,1,Sunday,Accura,Urban,Wednesday,Apr,1,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13185,3,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-INS-014314
May,3,Friday,Chevrolet,Urban,Tuesday,May,5,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7405,8,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,CUST-INS-014315
Jul,3,Monday,Pontiac,Rural,Wednesday,Jul,4,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12776,14,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-INS-014316
Jan,3,Tuesday,Toyota,Urban,Tuesday,Jan,3,Male,Married,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3673,8,500,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1994,All Perils,CUST-INS-014317
Jan,4,Wednesday,VW,Urban,Monday,Feb,2,Male,Married,42,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,560,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-014318
May,4,Thursday,Honda,Urban,Tuesday,May,5,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5238,11,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-014319
Oct,4,Thursday,Toyota,Urban,Thursday,Oct,4,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7806,6,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,CUST-INS-014320
Nov,2,Wednesday,Mazda,Urban,Monday,Nov,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13408,1,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1996,Collision,CUST-INS-014321
Mar,5,Thursday,Pontiac,Rural,Tuesday,Apr,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11042,1,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-INS-014322
Feb,3,Thursday,Pontiac,Rural,Friday,Feb,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,513,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-INS-014323
Jun,2,Monday,Mazda,Urban,Thursday,Jun,3,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,12922,1,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,CUST-INS-014324
Sep,4,Sunday,Honda,Urban,Tuesday,Sep,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1082,12,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-014325
Nov,4,Saturday,Pontiac,Urban,Friday,Dec,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1665,9,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014326
Nov,2,Friday,Toyota,Urban,Tuesday,Nov,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9205,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014327
Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1932,7,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014328
May,1,Thursday,Honda,Urban,Friday,May,3,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14917,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-014329
Jul,2,Wednesday,Honda,Urban,Friday,Jul,3,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1151,15,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,CUST-INS-014330
Nov,5,Sunday,Toyota,Urban,Monday,Dec,2,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2839,6,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014331
Aug,4,Saturday,Mecedes,Urban,Monday,Sep,4,Female,Single,25,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,5950,11,400,3,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014332
Apr,3,Thursday,Honda,Urban,Friday,May,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8309,8,700,4,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014333
Aug,3,Tuesday,Mazda,Urban,Wednesday,Aug,3,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8933,3,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-INS-014334
Jul,2,Sunday,Chevrolet,Urban,Monday,Jul,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15098,14,700,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,CUST-INS-014335
Sep,4,Tuesday,Accura,Rural,Wednesday,Sep,4,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14263,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-INS-014336
Jul,3,Tuesday,Toyota,Urban,Monday,Mar,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,5178,13,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014337
Mar,4,Sunday,Toyota,Urban,Friday,Mar,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11868,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-INS-014338
Jun,4,Monday,Pontiac,Urban,Thursday,Jun,5,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14099,5,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-INS-014339
Jan,4,Tuesday,Chevrolet,Urban,Tuesday,Jan,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,831,6,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014340
Dec,3,Thursday,Pontiac,Urban,Monday,Dec,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8312,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014341
Nov,1,Friday,Pontiac,Urban,Monday,Nov,2,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4753,6,400,2,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014342
May,4,Friday,Toyota,Rural,Monday,Jun,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,15052,7,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,CUST-INS-014343
Mar,1,Tuesday,Chevrolet,Urban,Tuesday,Mar,1,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14995,10,500,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,2 to 3 years,2 vehicles,1996,Liability,CUST-INS-014344
Jan,2,Friday,Toyota,Urban,Friday,Jan,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15331,3,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability,CUST-INS-014345
Apr,3,Friday,Pontiac,Urban,Monday,Apr,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,636,9,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014346
Mar,1,Saturday,Chevrolet,Urban,Monday,Mar,1,Male,Married,54,Policy Holder,Utility - All Perils,Utility,more than 69000,0,4466,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,CUST-INS-014347
Jul,3,Wednesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12557,10,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-014348
Oct,1,Saturday,Honda,Urban,Monday,Nov,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6800,9,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,CUST-INS-014349
Jul,2,Wednesday,Toyota,Urban,Wednesday,Aug,1,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7988,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014350
Feb,3,Sunday,Toyota,Urban,Tuesday,Feb,4,Male,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7080,10,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-014351
May,2,Sunday,Pontiac,Urban,Tuesday,May,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6967,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014352
Jul,3,Saturday,Honda,Urban,Thursday,Jul,4,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4143,13,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014353
Jan,1,Sunday,Nisson,Urban,Friday,Jan,4,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7028,16,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014354
Sep,2,Tuesday,Pontiac,Urban,Monday,Sep,3,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9184,6,400,4,8 to 15,more than 30,none,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-INS-014355
Oct,2,Friday,Dodge,Urban,Friday,Oct,3,Male,Married,47,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,877,12,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-014356
Nov,5,Wednesday,Toyota,Urban,Monday,Dec,1,Male,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4870,1,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014357
Jan,4,Friday,Honda,Urban,Friday,Jan,4,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5316,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014358
Jan,2,Saturday,Pontiac,Urban,Tuesday,Jan,3,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5223,1,400,4,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014359
Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,0,5,3,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014360
Sep,2,Saturday,Pontiac,Urban,Monday,Sep,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3052,12,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-014361
Aug,3,Sunday,Chevrolet,Urban,Monday,Oct,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,5692,13,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision,CUST-INS-014362
Jan,3,Thursday,Mazda,Urban,Monday,Jan,5,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3125,14,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,CUST-INS-014363
Aug,2,Monday,Pontiac,Rural,Monday,Aug,2,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14600,7,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,CUST-INS-014364
Jul,1,Tuesday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10853,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1995,Liability,CUST-INS-014365
Nov,3,Saturday,Pontiac,Urban,Monday,Nov,4,Male,Married,77,Third Party,Sedan - Liability,Sport,20000 to 29000,0,2492,6,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-014366
Jan,3,Sunday,Mazda,Urban,Thursday,Jan,3,Female,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13366,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-INS-014367
Jun,3,Thursday,Pontiac,Rural,Tuesday,Jun,3,Male,Married,37,Third Party,Sedan - Liability,Sport,30000 to 39000,0,3855,7,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,Liability,CUST-INS-014368
Aug,3,Sunday,Toyota,Urban,Wednesday,Aug,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,13126,15,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,CUST-INS-014369
Feb,1,Wednesday,Mazda,Urban,Friday,Mar,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4778,12,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014370
May,3,Saturday,Honda,Urban,Monday,May,4,Male,Married,69,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9908,2,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-014371
Oct,1,Monday,Honda,Rural,Tuesday,Oct,1,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14641,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,CUST-INS-014372
May,4,Saturday,VW,Urban,Monday,May,5,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,7510,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-INS-014373
Aug,1,Monday,Pontiac,Urban,Monday,Aug,5,Female,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6458,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-014374
Sep,2,Saturday,Mazda,Urban,Tuesday,Sep,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,6294,4,700,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-INS-014375
Jul,4,Monday,Toyota,Urban,Thursday,Jul,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1149,9,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision,CUST-INS-014376
Sep,5,Friday,Ford,Urban,Thursday,Oct,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11454,10,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-014377
Oct,3,Thursday,Pontiac,Urban,Monday,Oct,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,575,12,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,3 to 4,1994,Collision,CUST-INS-014378
Nov,2,Monday,Pontiac,Urban,Friday,Nov,2,Male,Single,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3770,15,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014379
Apr,3,Monday,VW,Rural,Tuesday,Apr,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11929,16,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,CUST-INS-014380
Jul,1,Thursday,Pontiac,Urban,Tuesday,Aug,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4147,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-INS-014381
Feb,3,Sunday,Pontiac,Urban,Monday,Feb,4,Male,Married,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,854,7,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,CUST-INS-014382
Feb,1,Friday,Pontiac,Urban,Friday,Feb,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,10175,13,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,CUST-INS-014383
Jan,1,Thursday,Toyota,Urban,Wednesday,Jan,2,Male,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10967,10,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,CUST-INS-014384
Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,2,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5920,15,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-014385
Sep,4,Wednesday,Honda,Urban,Tuesday,Sep,4,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13122,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,CUST-INS-014386
Jul,2,Saturday,Honda,Urban,Monday,Jul,2,Male,Single,43,Third Party,Sport - Collision,Sport,more than 69000,0,13404,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-014387
Jan,4,Friday,Toyota,Rural,Monday,Jan,4,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9359,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-INS-014388
Nov,4,Monday,Honda,Urban,Friday,Dec,1,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6615,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1995,Liability,CUST-INS-014389
May,4,Tuesday,Chevrolet,Urban,Thursday,May,4,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6003,7,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,CUST-INS-014390
Feb,4,Monday,Honda,Urban,Tuesday,Feb,4,Female,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9164,12,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,CUST-INS-014391
Oct,2,Sunday,Jaguar,Rural,Wednesday,Oct,2,Male,Married,28,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10894,13,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,CUST-INS-014392
Sep,2,Thursday,Pontiac,Urban,Thursday,Sep,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4496,2,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,CUST-INS-014393
Apr,4,Monday,Toyota,Urban,Wednesday,Apr,4,Male,Married,73,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8174,11,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-014394
Mar,5,Monday,Toyota,Rural,Tuesday,Jun,3,Male,Single,18,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6656,12,400,4,more than 30,more than 30,1,2 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,CUST-INS-014395
Jan,2,Wednesday,Pontiac,Urban,Friday,Jan,3,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12040,8,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-INS-014396
Nov,2,Friday,Mazda,Rural,Monday,Nov,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2369,2,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,CUST-INS-014397
Jun,2,Friday,Chevrolet,Urban,Wednesday,Jun,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,12308,3,400,1,more than 30,more than 30,more than 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,CUST-INS-014398
Jun,2,Wednesday,Pontiac,Urban,Monday,Jun,2,Female,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4781,7,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014399
Apr,4,Wednesday,Mazda,Urban,Friday,May,1,Female,Single,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12324,15,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,CUST-INS-014400
Oct,4,Monday,Pontiac,Urban,Monday,Oct,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7993,4,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,CUST-INS-014401
Mar,3,Thursday,Mazda,Urban,Thursday,Apr,4,Male,Married,28,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2951,8,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,CUST-INS-014402
Apr,2,Saturday,Mazda,Urban,Monday,Apr,4,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5626,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,CUST-INS-014403
Feb,1,Saturday,Pontiac,Urban,Monday,Feb,2,Male,Single,57,Third Party,Sedan - All Perils,Sedan,less than 20000,0,6972,14,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,CUST-INS-014404
Jan,1,Thursday,Chevrolet,Urban,Saturday,Jan,2,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,8717,3,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,CUST-INS-014405
Apr,1,Monday,Chevrolet,Urban,Monday,Apr,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10648,6,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,1 year,2 vehicles,1995,Liability,CUST-INS-014406
Feb,1,Tuesday,Mazda,Urban,Wednesday,Feb,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13209,10,400,1,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,CUST-INS-014407
